padchest_label,mimic_label,reasoning
"","No Finding",Empty label
" respiratory distress","No Finding",Clinical symptom not pathological finding
" pacemaker",Support Devices,Cardiac device
" major fissure thickening",Pleural Other,Pleural/fissural abnormality
" mediastinic lipomatosis","No Finding",Benign anatomical variant
"reservoir central venous catheter",Support Devices,Vascular access device
" subcutaneous emphysema",Pneumothorax,Air in soft tissues related to pneumothorax
" rib fracture",Fracture,Bone fracture
"central venous catheter via jugular vein",Support Devices,Vascular access device
" end on vessel","No Finding",Normal vascular visualization
" pneumonia",Pneumonia,Lung infection
"osteoporosis","No Finding",Bone density condition
" miliary opacities",Lung Opacity,Multiple small opacities
" humeral fracture",Fracture,Bone fracture
" sternotomy",Support Devices,Surgical procedure/hardware
"multiple nodules",Lung Lesion,Multiple lung masses
"cavitation",Lung Lesion,Lung tissue destruction
" scoliosis","No Finding",Spinal deformity
"clavicle fracture",Fracture,Bone fracture
" artificial mitral heart valve",Support Devices,Cardiac prosthesis
" cardiomegaly",Cardiomegaly,Enlarged heart
" interstitial pattern",Lung Opacity,Lung parenchymal pattern
"vertebral compression",Fracture,Spinal fracture
" azygoesophageal recess shift",Enlarged Cardiomediastinum,Mediastinal shift
" endotracheal tube",Support Devices,Airway device
" surgery neck",Support Devices,Surgical changes
"single chamber device",Support Devices,Cardiac device
"loculated fissural effusion",Pleural Effusion,Pleural fluid collection
" central venous catheter via jugular vein",Support Devices,Vascular access device
"pulmonary fibrosis",Lung Lesion,Lung scarring
" fissure thickening",Pleural Other,Pleural abnormality
"atypical pneumonia",Pneumonia,Lung infection
"vertebral fracture",Fracture,Bone fracture
"mediastinal shift",Enlarged Cardiomediastinum,Mediastinal displacement
"aortic endoprosthesis",Support Devices,Vascular prosthesis
"total atelectasis",Atelectasis,Complete lung collapse
"sclerotic bone lesion",Lung Lesion,Bone abnormality with possible metastasis
" diaphragmatic eventration","No Finding",Diaphragmatic abnormality
" thoracic cage deformation","No Finding",Chest wall deformity
" central venous catheter",Support Devices,Vascular access device
"pulmonary edema",Edema,Lung fluid accumulation
" tracheostomy tube",Support Devices,Airway device
" granuloma",Lung Lesion,Inflammatory lung nodule
"bullas",Lung Opacity,Emphysematous changes visible as lung opacities
"nodule",Lung Lesion,Lung mass
"round atelectasis",Atelectasis,Specific type of collapse
" mass",Lung Lesion,Lung mass
"calcified granuloma",Lung Lesion,Calcified inflammatory nodule
"mastectomy",Support Devices,Surgical changes
" lepidic adenocarcinoma",Lung Lesion,Lung cancer
"osteopenia","No Finding",Bone density condition
"prosthesis",Support Devices,Medical prosthesis
" pulmonary mass",Lung Lesion,Lung mass
" pneumoperitoneo",Pneumothorax,Air in peritoneum
"blastic bone lesion",Lung Lesion,Bone abnormality with possible metastasis
" vertebral degenerative changes","No Finding",Degenerative changes
"laminar atelectasis",Atelectasis,Type of lung collapse
" gastrostomy tube",Support Devices,Feeding device
"sternotomy",Support Devices,Surgical procedure
"pulmonary artery hypertension","No Finding",Pulmonary vascular disease
" descendent aortic elongation",Enlarged Cardiomediastinum,Aortic enlargement
" heart valve calcified","No Finding",Valve calcification
"surgery lung",Support Devices,Surgical changes
"double J stent",Support Devices,Urological device
"vertebral anterior compression",Fracture,Spinal fracture
"aortic atheromatosis","No Finding",Aortic disease
"tuberculosis sequelae",Lung Lesion,Post-infectious changes
"cardiomegaly",Cardiomegaly,Enlarged heart
" artificial aortic heart valve",Support Devices,Cardiac prosthesis
" infiltrates",Consolidation,Lung inflammation
" suboptimal study","No Finding",Technical quality issue
"supra aortic elongation",Enlarged Cardiomediastinum,Aortic enlargement
" pulmonary hypertension","No Finding",Pulmonary vascular disease
" reticulonodular interstitial pattern",Lung Opacity,Lung parenchymal pattern
"lytic bone lesion",Lung Lesion,Bone abnormality with possible metastasis
" kerley lines","No Finding",Pulmonary vascular congestion
" clavicle fracture",Fracture,Bone fracture
"miliary opacities",Lung Opacity,Multiple small opacities
"ground glass pattern",Lung Opacity,Lung parenchymal pattern
" lobar atelectasis",Atelectasis,Lung collapse
" vertebral compression",Fracture,Spinal fracture
" apical pleural thickening",Pleural Other,Pleural abnormality
"pericardial effusion",Pleural Effusion,Fluid around heart
" goiter","No Finding",Thyroid enlargement
"air trapping",Lung Opacity,Air retention with visible parenchymal changes
"dextrocardia","No Finding",Cardiac anatomical variant
"pneumothorax",Pneumothorax,Air in pleural space
" pulmonary edema",Edema,Lung fluid accumulation
"central venous catheter via subclavian vein",Support Devices,Vascular access device
" pleural thickening",Pleural Other,Pleural abnormality
"fracture",Fracture,Bone fracture
"respiratory distress","No Finding",Clinical symptom
"humeral prosthesis",Support Devices,Orthopedic prosthesis
"pneumomediastinum",Pneumothorax,Air in mediastinum
"abscess",Lung Lesion,Infectious collection
"lipomatosis","No Finding",Fatty tissue accumulation
"artificial aortic heart valve",Support Devices,Cardiac prosthesis
" costophrenic angle blunting",Pleural Effusion,Pleural space blunting commonly indicating fluid
"hemidiaphragm elevation","No Finding",Diaphragmatic elevation
" hydropneumothorax",Pleural Effusion,Fluid and air in pleura
"nephrostomy tube",Support Devices,Urological device
"goiter","No Finding",Thyroid enlargement
"external foreign body",Support Devices,Foreign object
"empyema",Lung Lesion,Pleural infection
" tracheal shift","No Finding",Tracheal displacement
"tracheal shift","No Finding",Tracheal displacement
"lung metastasis",Lung Lesion,Secondary cancer
"mass",Lung Lesion,Lung mass
